route,dir,km,status
N-55,SB,232,Good
N-55,SB,231,Good
N-55,SB,230,Under Construction
N-55,SB,229,Under Construction
N-55,SB,228,Under Construction
N-55,SB,227,Under Construction
N-55,SB,226,Under Construction
N-55,SB,225,Under Construction
N-55,SB,224,Under Construction
N-55,SB,223,Under Construction
N-55,SB,222,Under Construction
N-55,SB,221,Under Construction
N-55,SB,220,Under Construction
N-55,SB,219,Under Construction
N-55,SB,218,Good
N-55,SB,217,Good
N-55,SB,216,Good
N-55,SB,215,Fair
N-55,SB,214,Fair
N-55,SB,213,Good
N-55,SB,212,Good
N-55,SB,211,Good
N-55,SB,210,Fair
N-55,SB,209,Good
N-55,SB,208,Fair
N-55,SB,207,Fair
N-55,SB,206,Fair
N-55,SB,205,Good
N-55,SB,204,Fair
N-55,SB,203,Good
N-55,SB,202,Good
N-55,SB,201,Good
N-55,SB,200,Good
N-55,SB,199,Fair
N-55,SB,198,Fair
N-55,SB,197,Fair
N-55,SB,196,Fair
N-55,SB,195,Good
N-55,SB,194,Good
N-55,SB,193,Good
N-55,SB,192,Fair
N-55,SB,191,Fair
N-55,SB,190,Fair
N-55,SB,189,Fair
N-55,SB,188,Fair
N-55,SB,187,Good
N-55,SB,186,Fair
N-55,SB,185,Fair
N-55,SB,184,Good
N-55,SB,183,Good
N-55,SB,182,Good
N-55,SB,181,Good
N-55,SB,180,Good
N-55,SB,179,Good
N-55,SB,178,Good
N-55,SB,177,Good
N-55,SB,176,Good
N-55,SB,175,Fair
N-55,SB,174,Good
N-55,SB,173,Good
N-55,SB,172,Good
N-55,SB,171,Good
N-55,SB,170,Good
N-55,SB,169,Good
N-55,SB,168,Fair
N-55,SB,167,Fair
N-55,SB,166,Good
N-55,SB,165,Fair
N-55,SB,164,Good
N-55,SB,163,Good
N-55,SB,162,Good
N-55,SB,161,Fair
N-55,SB,160,Fair
N-55,SB,159,Fair
N-55,SB,158,Under Construction
N-55,SB,157,Under Construction
N-55,SB,156,Under Construction
N-55,SB,155,Under Construction
N-55,SB,154,Under Construction
N-55,SB,153,Under Construction
N-55,SB,152,Under Construction
N-55,SB,151,Under Construction
N-55,SB,150,Under Construction
N-55,SB,149,Under Construction
N-55,SB,148,Under Construction
N-55,SB,147,Under Construction
N-55,SB,146,Under Construction
N-55,SB,145,Good
N-55,SB,144,Good
N-55,SB,143,Fair
N-55,SB,142,Fair
N-55,SB,141,Fair
N-55,SB,140,Good
N-55,SB,139,Fair
N-55,SB,138,Fair
N-55,SB,137,Fair
N-55,SB,136,Fair
N-55,SB,135,Good
N-55,SB,134,Good
N-55,SB,133,Good
N-55,SB,132,Good
N-55,SB,131,Good
N-55,SB,130,Good
N-55,SB,129,Good
N-55,SB,128,Good
N-55,SB,127,Good
N-55,SB,126,Good
N-55,SB,125,Good
N-55,SB,124,Good
N-55,SB,123,Good
N-55,SB,122,Good
N-55,SB,121,Good
N-55,SB,120,Good
N-55,SB,119,Fair
N-55,SB,118,Fair
N-55,SB,117,Good
N-55,SB,116,Good
N-55,SB,115,Good
N-55,SB,114,Good
N-55,SB,113,Good
N-55,SB,112,Good
N-55,SB,111,Good
N-55,SB,110,Good
N-55,SB,109,Good
N-55,SB,108,Good
N-55,SB,107,Fair
N-55,SB,106,Good
N-55,SB,105,Good
N-55,SB,104,Good
N-55,SB,103,Fair
N-55,SB,102,Fair
N-55,SB,101,Good
N-55,SB,100,Fair
N-55,SB,99,Fair
N-55,SB,98,Fair
N-55,SB,97,Good
N-55,SB,96,Good
N-55,SB,95,Good
N-55,SB,94,Good
N-55,SB,93,Good
N-55,SB,92,Good
N-55,SB,91,Fair
N-55,SB,90,Good
N-55,SB,89,Good
N-55,SB,88,Good
N-55,SB,87,Fair
N-55,SB,86,Good
N-55,SB,85,Good
N-55,SB,84,Good
N-55,SB,83,Fair
N-55,SB,82,Good
N-55,SB,81,Good
N-55,SB,80,Good
N-55,SB,79,Good
N-55,SB,78,Good
N-55,SB,77,Fair
N-55,SB,76,Good
N-55,SB,75,Good
N-55,SB,74,Good
N-55,SB,73,Good
N-55,SB,72,Good
N-55,SB,71,Good
N-55,SB,70,Under Construction
N-55,SB,69,Under Construction
N-55,SB,68,Under Construction
N-55,SB,67,Under Construction
N-55,SB,66,Under Construction
N-55,SB,65,Under Construction
N-55,SB,64,Under Construction
N-55,SB,63,Under Construction
N-55,SB,62,Under Construction
N-55,SB,61,Under Construction
N-55,SB,60,Under Construction
N-55,SB,59,Under Construction
N-55,SB,58,Under Construction
N-55,SB,57,Under Construction
N-55,SB,56,Under Construction
N-55,SB,55,Under Construction
N-55,SB,54,Under Construction
N-55,SB,53,Under Construction
N-55,SB,52,Under Construction
N-55,SB,51,Under Construction
N-55,SB,50,Under Construction
N-55,SB,49,Under Construction
N-55,SB,48,Under Construction
N-55,SB,47,Under Construction
N-55,SB,46,Under Construction
N-55,SB,45,Under Construction
N-55,SB,44,Fair
N-55,SB,43,Good
N-55,SB,42,Good
N-55,SB,41,Good
N-55,SB,40,Good
N-55,SB,39,Good
N-55,SB,38,Good
N-55,SB,37,Fair
N-55,SB,36,Good
N-55,SB,35,Good
N-55,SB,34,Fair
N-55,SB,33,Good
N-55,SB,32,Good
N-55,SB,31,Fair
N-55,SB,30,Fair
N-55,SB,29,Fair
N-55,SB,28,Fair
N-55,SB,27,Fair
N-55,SB,26,Fair
N-55,SB,25,Fair
N-55,SB,24,Fair
N-55,SB,23,Fair
N-55,SB,22,Fair
N-55,SB,21,Fair
N-55,SB,20,Poor
N-55,SB,19,Fair
N-55,SB,18,Good
N-55,SB,17,Fair
N-55,SB,16,Poor
N-55,SB,15,Good
N-55,SB,14,Fair
N-55,SB,13,Good
N-55,SB,12,Fair
N-55,SB,11,Fair
N-55,SB,10,Fair
N-55,SB,9,Fair
N-55,SB,8,Poor
N-55,SB,7,Fair
N-55,SB,6,Fair
N-55,SB,5,Fair
N-55,SB,4,Good
N-55,SB,3,Good
N-55,SB,2,Fair
N-55,SB,1,Fair
